2025-05-20 18:05:47,891 - __main__ - INFO - Starting detailed monitoring with interval 5s
2025-05-20 18:07:55,674 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:00,771 - __main__ - INFO - CPU: 32.3%, Memory: 89.2% (Available: 1.48 GB)
2025-05-20 18:08:00,773 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:05,880 - __main__ - INFO - CPU: 36.0%, Memory: 91.0% (Available: 1.24 GB)
2025-05-20 18:08:05,880 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:10,952 - __main__ - INFO - CPU: 27.9%, Memory: 93.1% (Available: 0.95 GB)
2025-05-20 18:08:10,953 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:16,059 - __main__ - INFO - CPU: 21.6%, Memory: 94.5% (Available: 0.76 GB)
2025-05-20 18:08:16,060 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:21,163 - __main__ - INFO - CPU: 31.8%, Memory: 79.6% (Available: 2.80 GB)
2025-05-20 18:08:21,164 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:26,241 - __main__ - INFO - CPU: 32.7%, Memory: 75.6% (Available: 3.34 GB)
2025-05-20 18:08:26,241 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:31,312 - __main__ - INFO - CPU: 30.3%, Memory: 77.5% (Available: 3.09 GB)
2025-05-20 18:08:31,313 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:36,414 - __main__ - INFO - CPU: 32.8%, Memory: 83.0% (Available: 2.33 GB)
2025-05-20 18:08:36,415 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:41,501 - __main__ - INFO - CPU: 29.5%, Memory: 80.9% (Available: 2.62 GB)
2025-05-20 18:08:41,501 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:46,579 - __main__ - INFO - CPU: 31.4%, Memory: 78.3% (Available: 2.98 GB)
2025-05-20 18:08:46,580 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:51,698 - __main__ - INFO - CPU: 35.0%, Memory: 85.2% (Available: 2.02 GB)
2025-05-20 18:08:51,698 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:08:56,767 - __main__ - INFO - CPU: 35.4%, Memory: 81.2% (Available: 2.58 GB)
2025-05-20 18:08:56,767 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:01,841 - __main__ - INFO - CPU: 27.1%, Memory: 91.9% (Available: 1.11 GB)
2025-05-20 18:09:01,841 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:06,955 - __main__ - INFO - CPU: 32.5%, Memory: 92.3% (Available: 1.05 GB)
2025-05-20 18:09:06,956 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:12,065 - __main__ - INFO - CPU: 28.9%, Memory: 85.4% (Available: 2.00 GB)
2025-05-20 18:09:12,066 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:09:17,166 - __main__ - INFO - CPU: 38.1%, Memory: 81.9% (Available: 2.49 GB)
2025-05-20 18:09:17,166 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
